Column1,Scene,Listener,SII,Column2
Scene S07444 listener L0013 sii 0.6657,S07444,L0013,0.6657,07444
Scene S07444 listener L0012 sii 0.6549,S07444,L0012,0.6549,07444
Scene S07445 listener L0090 sii 0.2606,S07445,L0090,0.2606,07445
Scene S07445 listener L0041 sii 0.3443,S07445,L0041,0.3443,07445
Scene S07445 listener L0085 sii 0.333,S07445,L0085,0.333,07445
Scene S07446 listener L0011 sii 0.6071,S07446,L0011,0.6071,07446
Scene S07446 listener L0036 sii 0.5798,S07446,L0036,0.5798,07446
Scene S07446 listener L0055 sii 0.627,S07446,L0055,0.627,07446
Scene S07447 listener L0072 sii 0.3981,S07447,L0072,0.3981,07447
Scene S07447 listener L0089 sii 0.4842,S07447,L0089,0.4842,07447
Scene S07447 listener L0095 sii 0.4735,S07447,L0095,0.4735,07447
Scene S07448 listener L0015 sii 0.4952,S07448,L0015,0.4952,07448
Scene S07448 listener L0028 sii 0.5227,S07448,L0028,0.5227,07448
Scene S07448 listener L0027 sii 0.4952,S07448,L0027,0.4952,07448
Scene S07449 listener L0095 sii 0.6663,S07449,L0095,0.6663,07449
Scene S07449 listener L0093 sii 0.6429,S07449,L0093,0.6429,07449
Scene S07449 listener L0009 sii 0.7093,S07449,L0009,0.7093,07449
Scene S07450 listener L0071 sii 0.4184,S07450,L0071,0.4184,07450
Scene S07450 listener L0044 sii 0.3988,S07450,L0044,0.3988,07450
Scene S07450 listener L0036 sii 0.413,S07450,L0036,0.413,07450
Scene S07451 listener L0085 sii 0.6509,S07451,L0085,0.6509,07451
Scene S07451 listener L0010 sii 0.5108,S07451,L0010,0.5108,07451
Scene S07451 listener L0080 sii 0.6184,S07451,L0080,0.6184,07451
Scene S07452 listener L0012 sii 0.4669,S07452,L0012,0.4669,07452
Scene S07452 listener L0003 sii 0.4719,S07452,L0003,0.4719,07452
Scene S07452 listener L0009 sii 0.4736,S07452,L0009,0.4736,07452
Scene S07453 listener L0094 sii 0.5682,S07453,L0094,0.5682,07453
Scene S07453 listener L0032 sii 0.6289,S07453,L0032,0.6289,07453
Scene S07453 listener L0028 sii 0.5312,S07453,L0028,0.5312,07453
Scene S07454 listener L0080 sii 0.5245,S07454,L0080,0.5245,07454
Scene S07454 listener L0034 sii 0.4664,S07454,L0034,0.4664,07454
Scene S07454 listener L0083 sii 0.5179,S07454,L0083,0.5179,07454
Scene S07455 listener L0049 sii 0.5182,S07455,L0049,0.5182,07455
Scene S07455 listener L0091 sii 0.6254,S07455,L0091,0.6254,07455
Scene S07455 listener L0090 sii 0.5938,S07455,L0090,0.5938,07455
Scene S07456 listener L0014 sii 0.5343,S07456,L0014,0.5343,07456
Scene S07456 listener L0026 sii 0.5279,S07456,L0026,0.5279,07456
Scene S07456 listener L0062 sii 0.5399,S07456,L0062,0.5399,07456
Scene S07457 listener L0086 sii 0.5918,S07457,L0086,0.5918,07457
Scene S07457 listener L0001 sii 0.562,S07457,L0001,0.562,07457
Scene S07457 listener L0097 sii 0.522,S07457,L0097,0.522,07457
Scene S07458 listener L0056 sii 0.5397,S07458,L0056,0.5397,07458
Scene S07458 listener L0053 sii 0.6079,S07458,L0053,0.6079,07458
Scene S07458 listener L0086 sii 0.581,S07458,L0086,0.581,07458
Scene S07459 listener L0038 sii 0.5913,S07459,L0038,0.5913,07459
Scene S07459 listener L0092 sii 0.5711,S07459,L0092,0.5711,07459
Scene S07459 listener L0051 sii 0.6329,S07459,L0051,0.6329,07459
Scene S07460 listener L0002 sii 0.6926,S07460,L0002,0.6926,07460
Scene S07460 listener L0091 sii 0.6666,S07460,L0091,0.6666,07460
Scene S07460 listener L0067 sii 0.6542,S07460,L0067,0.6542,07460
Scene S07461 listener L0059 sii 0.6011,S07461,L0059,0.6011,07461
Scene S07461 listener L0012 sii 0.5958,S07461,L0012,0.5958,07461
Scene S07461 listener L0056 sii 0.5744,S07461,L0056,0.5744,07461
Scene S07462 listener L0047 sii 0.5542,S07462,L0047,0.5542,07462
Scene S07462 listener L0058 sii 0.5134,S07462,L0058,0.5134,07462
Scene S07462 listener L0015 sii 0.5236,S07462,L0015,0.5236,07462
Scene S07463 listener L0051 sii 0.4608,S07463,L0051,0.4608,07463
Scene S07463 listener L0090 sii 0.4859,S07463,L0090,0.4859,07463
Scene S07463 listener L0026 sii 0.4691,S07463,L0026,0.4691,07463
Scene S07464 listener L0059 sii 0.5901,S07464,L0059,0.5901,07464
Scene S07464 listener L0005 sii 0.5955,S07464,L0005,0.5955,07464
Scene S07464 listener L0002 sii 0.6398,S07464,L0002,0.6398,07464
Scene S07465 listener L0100 sii 0.48,S07465,L0100,0.48,07465
